illegal_traces,trigger_speed,flick_speed
265,19,309.9116
39,40,187.0493
0,0,266.1895
72,13,194.5957
335,55,172.6808
29,0,162.163
394,42,299.1007
571,216,302.7043
662,0,341.5694
730,266,341.3889
