illegal_traces,trigger_speed,flick_speed
2578,210,198.1954
93,76,281.0772
837,50,270.2665
573,698,230.6274
450,287,284.1722
255,63,241.4381
1,548,270.2665
1238,229,237.8345
266,159,356.7518
718,94,219.8168
837,200,295.4914
